Ticker,Maturity,Yield
US01M,2025-03-25,4.321
US02M,2025-04-22,4.322
US03M,2025-05-22,4.307
US04M,2025-06-24,4.321
US06M,2025-08-21,4.338
US01Y,2026-02-19,4.168
US02Y,2027-01-31,4.198
US03Y,2028-02-15,4.207
US05Y,2030-01-31,4.269
US07Y,2032-01-31,4.355
US10Y,2035-02-15,4.431
US20Y,2045-02-15,4.711
US30Y,2055-02-15,4.68
CA01M,2025-03-12,2.97
CA02M,2025-04-09,2.92
CA03M,2025-05-22,2.875
CA06M,2025-07-30,2.855
CA01Y,2026-01-28,2.815
CA02Y,2027-02-01,2.733
CA03Y,2027-09-01,2.734
CA04Y,2028-09-01,2.766
CA05Y,2029-09-01,2.814
CA07Y,2032-06-01,2.998
CA10Y,2034-12-01,3.108
CA20Y,2041-06-01,3.239
CA30Y,2055-12-01,3.297
GB01M,2025-03-17,4.546
GB03M,2025-05-19,4.482
GB06M,2025-08-18,4.471
GB01Y,2025-10-22,4.345
GB02Y,2027-01-29,4.223
GB03Y,2027-12-07,4.008
GB04Y,2029-01-31,4.069
GB05Y,2029-07-22,4.243
GB06Y,2030-12-07,4.225
GB07Y,2031-10-22,4.371
GB08Y,2033-01-31,4.464
GB09Y,2034-01-31,4.534
GB10Y,2034-07-31,4.562
GB12Y,2036-03-07,4.663
GB15Y,2039-09-07,4.867
GB20Y,2045-01-22,5.079
GB25Y,2049-12-07,5.128
GB30Y,2054-07-31,5.156
GB40Y,2063-10-22,5.09
GB50Y,2073-10-22,4.405
DE01M,2025-03-19,2.424
DE03M,2025-04-16,2.249
DE06M,2025-08-20,2.23
DE09M,2025-10-15,2.149
DE01Y,2026-01-14,2.094
DE02Y,2027-03-11,2.069
DE03Y,2028-02-15,2.078
DE04Y,2029-02-15,2.091
DE05Y,2030-04-18,2.217
DE06Y,2031-02-15,2.201
DE07Y,2032-02-15,2.281
DE08Y,2033-02-15,2.347
DE09Y,2034-02-15,2.408
DE10Y,2035-02-15,2.452
DE15Y,2041-05-15,2.69
DE20Y,2044-07-04,2.697
DE25Y,2050-08-15,2.667
DE30Y,2054-08-15,2.719
FR01M,2025-03-26,2.517
FR03M,2025-05-14,2.441
FR06M,2025-08-27,2.36
FR09M,2025-12-03,2.325
FR01Y,2026-01-28,2.279
FR02Y,2026-11-25,2.232
FR03Y,2027-10-25,2.317
FR04Y,2028-11-25,2.514
FR05Y,2029-11-25,2.64
FR06Y,2030-11-25,2.736
FR07Y,2031-11-25,2.851
FR08Y,2032-11-25,2.984
FR09Y,2033-11-25,3.084
FR10Y,2035-05-25,3.217
FR15Y,2039-06-25,3.412
FR20Y,2044-06-25,3.539
FR25Y,2049-06-25,3.645
FR30Y,2055-05-25,3.766
FR50Y,2072-05-25,3.354
ES01M,2025-03-07,2.367
ES03M,2025-05-09,2.407
ES06M,2025-08-08,2.359
ES09M,2025-11-07,2.291
ES01Y,2026-02-06,2.252
ES02Y,2027-04-30,2.282
ES03Y,2028-05-31,2.408
ES04Y,2029-04-30,2.532
ES05Y,2030-01-31,2.598
ES06Y,2031-04-30,2.745
ES07Y,2031-07-30,2.76
ES08Y,2033-07-30,2.985
ES09Y,2034-04-30,3.044
ES10Y,2035-04-30,3.195
ES15Y,2039-07-30,3.434
ES20Y,2043-07-30,3.607
ES25Y,2050-10-31,3.659
